证券代码,证券名称,5涨,10涨,20涨,30涨,45涨,60涨,备注
000581.SZ,威孚高科,24.33,20.89,41.58,44.19,34.57,41.89,一进二[D:1]
000668.SZ,荣丰控股,6.57,4.05,-2.99,-11.24,-9.28,-34.12,一进二[D:1]
000905.SZ,厦门港务,12.39,15.35,12.39,5.34,22.90,17.59,一进二[D:1]
000929.SZ,兰州黄河,7.13,5.06,6.65,5.06,-0.42,-18.66,一进二[D:1]
002205.SZ,国统股份,13.91,11.73,10.32,26.57,18.69,11.02,一进二[D:1]
002277.SZ,友阿股份,16.79,13.85,23.63,26.35,-4.24,80.86,一进二[D:1]
002347.SZ,泰尔股份,14.34,-3.91,17.75,24.52,27.31,-0.11,一进二[D:1]
002420.SZ,毅昌科技,9.95,8.67,8.85,16.64,20.52,3.33,一进二[D:1]
002484.SZ,江海股份,13.73,-4.93,2.24,-5.01,18.75,24.29,一进二[D:1]
002524.SZ,光正眼科,10.07,3.85,20.16,29.66,21.11,2.00,一进二[D:1]
002713.SZ,东易日盛,15.26,21.23,13.66,9.11,12.36,-11.05,一进二[D:1]
002816.SZ,和科达,1.44,-3.53,2.43,13.90,-4.22,-29.59,一进二[D:1]
600107.SH,美尔雅,7.40,3.46,3.23,14.32,-0.62,-11.62,一进二[D:1]
600172.SH,黄河旋风,10.87,2.23,10.87,7.75,6.99,-9.11,一进二[D:1]
600184.SH,光电股份,13.42,9.01,24.71,36.74,34.00,25.27,一进二[D:1]
600345.SH,长江通信,17.98,5.87,10.69,19.56,7.70,-6.18,一进二[D:1]
600539.SH,狮头股份,25.79,46.55,22.81,83.93,49.12,68.79,一进二[D:1]
600560.SH,金自天正,17.76,11.11,17.17,23.37,22.73,17.83,一进二[D:1]
600610.SH,中毅达,9.11,7.00,3.75,-0.45,2.31,-22.01,一进二[D:1]
600712.SH,南宁百货,9.09,7.96,2.63,2.30,-14.29,-9.57,一进二[D:1]
600829.SH,人民同泰,9.92,8.93,8.37,15.82,3.57,15.34,一进二[D:1]
603108.SH,润达医疗,13.69,10.34,14.20,52.27,33.65,18.77,一进二[D:1]
603489.SH,八方股份,16.19,9.04,28.68,34.98,13.53,8.92,一进二[D:1]
605018.SH,长华集团,19.34,15.81,17.03,50.88,58.30,38.36,一进二[D:1]
605318.SH,法狮龙,20.42,19.43,15.38,16.85,21.72,26.10,一进二[D:1]
